"zip","type","decommissioned","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","world_region","country","latitude","longitude","irs_estimated_population"
37235,"UNIQUE",0,"Nashville","","Vanderbilt University","TN","Davidson County","America/Chicago","615",NA,"US",36.17,-86.78,156
37236,"UNIQUE",0,"Nashville","","Baptist Hospital","TN","Davidson County","America/Chicago","615",NA,"US",36.17,-86.78,0
37237,"UNIQUE",1,"Nashville","","Amsouth Bank","TN","Davidson County","America/Chicago","615",NA,"US",36.16,-86.78,10
37238,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.17,-86.78,0
37240,"UNIQUE",0,"Nashville","","Vanderbilt University","TN","Davidson County","America/Chicago","615",NA,"US",36.14,-86.81,0
37241,"UNIQUE",0,"Nashville","","Regions Bank","TN","Davidson County","America/Chicago","615",NA,"US",36.17,-86.78,0
37242,"UNIQUE",0,"Nashville","","Tn Dept Revenue","TN","Davidson County","America/Chicago","615",NA,"US",36.17,-86.78,0
37243,"UNIQUE",0,"Nashville","","Nashvl, Nashvle, Tn State Government","TN","Davidson County","America/Chicago","615",NA,"US",36.17,-86.78,34
37244,"PO BOX",0,"Nashville","","","TN","Davidson County","America/Chicago","615",NA,"US",36.17,-86.78,0
37245,"STANDARD",1,"Nashville","Nashvl, Nashvle, Tn Dept Of Employment Sec","","TN","Davidson County","America/Chicago","615",NA,"US",36.16,-86.78,0
37246,"UNIQUE",0,"Nashville","","Nashville Elec Serv","TN","Davidson County","America/Chicago","615",NA,"US",36.16,-86.79,0
37247,"STANDARD",1,"Nashville","Tn Dept Of Health Environ, Nashvl, Nashvle","","TN","Davidson County","America/Chicago","615",NA,"US",36.16,-86.78,0
37248,"STANDARD",1,"Nashville","Tn Dept Of Human Svc, Nashvle, Nashvl","","TN","Davidson County","America/Chicago","615",NA,"US",36.16,-86.78,0
37249,"STANDARD",1,"Nashville","Nashvl, Nashvle, Tn Dept Of Safety","","TN","Davidson County","America/Chicago","615",NA,"US",36.16,-86.78,0
37250,"UNIQUE",0,"Nashville","","American General","TN","Davidson County","America/Chicago","615",NA,"US",36.17,-86.78,0
37301,"STANDARD",0,"Altamont","","","TN","Grundy County","America/Chicago","931",NA,"US",35.42,-85.72,1570
37302,"STANDARD",0,"Apison","","","TN","Hamilton County","America/New_York","423, 706, 762",NA,"US",35.01,-85,4950
37303,"STANDARD",0,"Athens","","","TN","McMinn County","America/New_York","423",NA,"US",35.45,-84.6,21800
